chapter_no,section_no,section_name,id,question_en,question_ur,option_a_en,option_a_ur,option_b_en,option_b_ur,option_c_en,option_c_ur,option_d_en,option_d_ur,correct_option
chapter1,1.1,biology_and_its_branches,336263,Which branch of Biology focuses on the study of the structure and function of cells?,بیالوجی کی کون سی شاخ سیلز کی ساخت اور افعال کا مطالعہ کرتی ہے؟,Cytology,سائٹولوجی,Microbiology,مائیکروبیالوجی,Histology,ہسٹالوجی,Ecology,ایکولوجی,A
chapter1,1.1,biology_and_its_branches,336264,The study of the processes of heredity and variation in living organisms is known as:,جانداروں میں وراثت اور تغیریات کا مطالعہ کہلاتا ہے؟,Ecology,ایکولوجی,Genetics,جینیٹکس,Anatomy,ایناٹومی,Embryology,ایمبریولوجی,A
chapter1,1.1,biology_and_its_branches,336266,"Heart pumps blood, stomach digests food and kidneys excrete wastes. The statement comes from:",دل خون پمپ کرتا ہے، معدہ کھانا ہضم کرتا ہے اور گردے فضلہ نکالتے ہیں۔ یہ بیان کہاں سے آیا ہے؟,Physiology,فزیالوجی,Anatomy,ایناٹومی,Morphology,مارفولوجی,Histology,ہسٹالوجی,A
chapter1,1.1,biology_and_its_branches,336267,Which branch of Biology involves the study of the classification of organisms?,بائیولوجی کی کون سی شاخ میں جانداروں کی گروہ بندی ​​​​​​​کا مطالعہ شامل ہے؟,Taxonomy,ٹیکسونومی,Physiology,فزیالوجی,Paleontology,پیلے انٹالوجی,Biogeography,بائیو جغرافیائی,A
chapter1,1.1,biology_and_its_branches,347652,The study of functions of various organs of an organism is:,جانداروں کے مختلف اعضاء کے افعال کا مطالعہ ہے:,Morphology,مارفولوجی,Histology,ہسٹولوجی,Anatomy,ایناٹومی,Physiology,فزیالوجی,D
chapter1,1.1,biology_and_its_branches,336288,Study of internal physical structure of organisms is called:,جانداروں کی اندرونی جسمانی ساخت کا مطالعہ کہلاتا ہے:,Anatomy,ایناٹومی,Physiology,فزیالوجی,Embryology,ایمبر یو لوجی,Genetics,جینیٹکس,A
chapter1,1.1,biology_and_its_branches,347653,Histology is the microscopic study of:,ہسٹولوجی کا مائیکروسکوپک مطالعہ ہے:,Tissues,ٹشوز,Cells,سیلز,Fossils,فوسلز,Plants,پودے,A
chapter1,1.1,biology_and_its_branches,336289,"In embryology, scientist study:",ایمبر یالوجی میں سائنسدان مطالعہ کرتے ہیں:,Organ and tissue formation,اعضاء​​​​​​​ اور ٹشوز کا بننا,Identify birth defects,پیدائشی نقائص کی نشاندہی,Developed medical treatment,طبی علاج کے طریقے تیار کرنا,All of the above,مندرجہ بالا تمام,D
chapter1,1.1,biology_and_its_branches,347654,Paleontology is the study of:,پیلےانٹولوجی مطالعہ ہے:,Environment,ماحول,Development,نشوونما,Fossils,فوسلز,Animals,جانوروں,C
chapter1,1.1,biology_and_its_branches,336290,Remains of plants and animals that were preserved in rocks and other geological formations is called:,پودوں اور جانوروں کی باقیات جو چٹانوں اور دیگر ارضیاتی تشکیلوں میں محفوظ ہیں، کہلاتے ہیں:,Pathogens,پیتھوجنز,Toxins,ٹاکسنز,Fossils,فوسلز,Pollutants,پالیوٹینٹس,C
chapter1,1.1,biology_and_its_branches,347655,The other name of environmental biology is:,ماحولیاتی بائیو لوجی کا دوسرا نام ہے:,Ecology,ایکالوجی,Biotechnology,بائیو ٹیکنالوجی,Microbiology,مائیکرو بائیو لوجی,Cell biology,سیل بائیو لوجی,A
chapter1,1.1,biology_and_its_branches,336291,The examination of fossils helps scientists to know the:,فوسلز کا معائنہ سائنسدانوں کو یہ جاننے میں مدد کرتا ہے:,The age of earth,زمین کی عمر,About climate,آب وہوا کے بارے میں,Evolutionary history,ارتقائی تاریخ,About drugs,ادویات کے بارے میں,C
chapter1,1.1,biology_and_its_branches,347656,Microbiology is the study of:,مائیکرو بائیو لوجی مطالعہ ہے:,Fungi,فنجائی,Animals,جانور,Plants,پودے,Microorganisms,مائیکرو آ رگنزمز,D
chapter1,1.1,biology_and_its_branches,336292,The Branch of biology deals with the classification of organisms into groups on the basis of similarities and differences:,بائیو لوجی کی وہ شاخ جس میں مماثلت اور اختلافات کی بنیاد پر جانداروں کو گروپوں میں تقسیم کیا جاتا ہے:,Paleontology,پیلےانٹولوجی,Taxonomy,ٹیکسانومی,Ecology,ایکا لوجی,Histology,ہسٹولوجی,B
chapter1,1.1,biology_and_its_branches,347657,Biology is a word of which language?,بائیولوجی کس زبان کا لفظ ہے؟,Latin,لاطینی,Arabic,عربی,Greek,یونانی,English,انگریزی,C
chapter1,1.1,biology_and_its_branches,336293,The microscopic study of tissues:,ٹشوز کا خردبینی مطالعہ کہلاتا ہے:,Ecology,ایکا لوجی,Histology,ہسٹولوجی,Anatomy,ایناٹومی,Embryology,ایمبر یو لوجی,B
chapter1,1.1,biology_and_its_branches,347658,The study of plants is called:,پودوں کا مطالعہ کہلاتا ہے:,Biology,بائیو لوجی,Zoology,ذو لوجی,Botany,باٹنی,Microbiology,مائیکرو بائیو لوجی,C
chapter1,1.1,biology_and_its_branches,336294,Genetics is the branch of biology that deals with the study of:,جینیٹکس بائیو لوجی کی وہ شاخ جس میں مطالعہ کیا جاتا ہے:,Transfer of characters,خصوصیات کی منتقلی,Cause of genetic diseases,جینیاتی بیماریوں کے اسباب,New species,نئی سپی شیز,Both A and B,اے اور بی دونوں,D
chapter1,1.1,biology_and_its_branches,347659,Match anatomy with one of the following:,ایناٹومی کو درج ذیل میں سے کسی ایک کے ساتھ جوڑیں:,Physiology,فزیالوجی,Morphology,مارفولوجی,Embryology,ایمبریولوجی,Genetics,جینیٹکس,B
chapter1,1.1,biology_and_its_branches,336296,Which branch of biology helps to conserve biodiversity and address environmental problems:,بائیو لوجی کی کونسی شاخ سے جانداروں کے تنوع کو بچانے اور ماحولیاتی مسائل کو حل کرنے میں مدد ملتی ہے:,Histology,ہسٹولوجی,Paleontology,پیلےانٹولوجی,Taxonomy,ٹیکسانومی,Ecology,ایکا لوجی,D
chapter1,1.1,biology_and_its_branches,347660,Biology is the scientific study of:,بائیو لوجی سائنسی مطالعہ ہے:,Earth,زمین,Water,پانی,Life,زندگی,None-living things,بے جان اشیاء,C
chapter1,1.1,biology_and_its_branches,336297,"Study of diseases, their causes and effects is called:",بیماریوں ،ان کے اسباب اور اثرات کا مطالعہ کہلاتا ہے:,Immunology,امیونالوجی,Pathology,پیتھا لوجی,Pharmacology,فارماکولوجی,Paleontology,پیلے انٹولوجی,B
chapter1,1.1,biology_and_its_branches,347661,The branch deal with the study of form and structure of living organisms is called:,جانداروں کی شکل اور ساخت کا مطالعہ کرنے والی شاخ کو کہا جاتا ہے:,Cell biology,سیل بائیولوجی,Physiology,فزیالوجی,Morphology,مارفولوجی,Genetics,جینیٹکس,C
chapter1,1.1,biology_and_its_branches,336298,Pharmacology is the study of:,فارماکولوجی مطالعہ ہے:,Ocean,سمندر,Tissues,ٹشوز,Nutrients,نیوٹرینٹس,Drugs,ادویات,D
chapter1,1.1,biology_and_its_branches,347662,The branch which deals with the study of cell division is called:,وہ شاخ جو سیل ڈویژن کے مطالعہ سے متعلق ہے اسے کہا جاتا ہے:,Physiology,فزیالوجی,Histology,ہسٹولوجی,Cell biology,سیل بائیو لوجی,Entomology,اینٹا مولوجی,C
chapter1,1.1,biology_and_its_branches,336299,Which of the following support a wide variety of marine life?,مندرجہ ذیل میں سے کون سمندری زندگی کی وسیع اقسام کی حمایت کرتا ہے؟,Fossils,فوسلز,Protozoa,پروٹوزوا,Coral reefs,کورل ریفز,Bacteria,بیکٹیریا,C
chapter1,1.1,biology_and_its_branches,347663,The branch deals with the study of the interrelationship of organisms and their environment is called:,یہ شاخ جانداروں اور ان کے ماحول کے باہمی تعلق کے مطالعہ سے متعلق ہے کہلاتی ہے:,Biotechnology,بائیو ٹیکنالوجی,Molecular biology,مالیکیولر بائیو لوجی,Entomology,اینٹا مولوجی,Environmental biology,انوائرمنٹل بائیو لوجی,D
chapter1,1.1,biology_and_its_branches,336300,The word biology has been derived from two words:,بائیو لوجی کا لفظ دو الفاظ سے آیا ہے:,Greek,یونانی,English,انگریزی,Latin,لاطینی,None of these,ان میں کوئی نہیں,A
chapter1,1.1,biology_and_its_branches,347664,How many major division biology is divided?,بائیو لوجی کو کتنے بڑے شعبوں میں تقسیم کیا جاتا ہے؟,Two,دو,Three,تین,Four,چار,Five,پانچ,A
chapter1,1.1,biology_and_its_branches,336301,The study of living things is called:,جانداروں کا مطالعہ کہلاتا ہے:,Biotechnology,بائیو ٹیکنالوجی,Biology,بائیو لوجی,Chemistry,کیمسٹری,Farming,فارمنگ,B
chapter1,1.1,biology_and_its_branches,347665,Mr. Nauman was busy in dissecting and analyzing the heart of frog. probably he is a:,مسٹر نعمان مینڈک کے دل کا پتہ لگانے اور تجزیہ کرنے میں مصروف تھے۔ شاید وہ ایک ہے:,Cell biologist,سیل بائیو لوجسٹ,Taxonomist,ٹیکسانومیسٹ​​​​​​​,Histologist,ہسٹولوجسٹ,Palaeontologist,پیلےانٹولوجسٹ,C
chapter1,1.1,biology_and_its_branches,336303,The study of the transmission of characteristics from parents to offspring is called:,والدین سے اولاد میں خصوصیات کی منتقلی کا مطالعہ کہلاتا ہے:,Biotechnology,بائیو ٹیکنالوجی,Genetics,جینیٹکس,Geology,جیولوجی,Information technology,انفارمیشن ٹیکنالوجی,B
chapter1,1.1,biology_and_its_branches,347666,"Being a biology research worker, you are studying ""Markhor"" which branch of biology it will be:","بائیولوجی کے تحقیقی کارکن ہونے کے ناطے، آپ ""مارخور"" پڑھ رہے ہیں  یہ بائیو لوجی کی کون سی شاخ ہے:",Botany,باٹنی,Zoology,ذو لوجی,Palaeontology,پیلےانٹولوجی,Parasitology,پیرا سائٹولوجی,B
chapter1,1.1,biology_and_its_branches,336304,The study of functions of living parts is called:,جسمانی حصوں کے افعال کا مطالعہ کہلاتا ہے:,History,ہسٹولوجی,Morphology,مارفولوجی,Anatomy,ایناٹومی,Physiology,فزیالوجی,D
chapter1,1.1,biology_and_its_branches,347667,Which of the following profession deals with the diagnosis and treatment of diseases in human?,مندرجہ ذیل میں سے کون سا پیشہ انسان میں بیماریوں کے اختراع اور علاج سے متعلق ہے؟,Medicine,میڈیسن,Surgery,سرجری,Biotechnology,بائیوٹیکنالوجی,Farming,فارمنگ,A
chapter1,1.1,biology_and_its_branches,336305,"Meaning of ""logos"" is:",لوگوس کا معنی ہے:,Activity,سرگرمی,Structure,ساخت,Thinking,سوچنا,Physiology,فزیالوجی,C
chapter1,1.1,biology_and_its_branches,347668,Study of insects is called:,کیڑوں کا مطالعہ کہلاتا ہے:,Immunology,امیونا لوجی,Entomology,اینٹا مولوجی,Genetics,جینیٹکس,Ecology,ایکا لوجی,B
chapter1,1.1,biology_and_its_branches,336306,The study of immune system of animals is called:,جانوروں کے مدافعتی نظام کا مطالعہ کہلاتا ہے:,Parasitology,پیراسائٹولوجی,Immunology,امیونا لوجی,Pathology,پیتھا لوجی,Pharmacology,فارماکولوجی,B
chapter1,1.1,biology_and_its_branches,347669,The study of how living things interact with each other and their environment is known as:,جاندار چیزیں ایک دوسرے اور ان کے ماحول کے ساتھ کس طرح تفاعل کرتی ہیں اس کا مطالعہ جانا جاتا ہے:,Physiology,فزیالوجی,Anatomy,ایناٹومی,Ecology,ایکا لوجی,Genetics,جینیٹکس,C
chapter1,1.1,biology_and_its_branches,336307,The study of fossils is called:,فوسلز کے مطالعہ کو کہا جاتا ہے:,Genetics,جینیٹکس,Paleontology,پیلےانٹولوجی,Embryology,ایمبریولوجی,Pharmacology,فارماکولوجی,B
chapter1,1.1,biology_and_its_branches,336308,Study of drugs and their effects on human body is called:,ادویات اور جسم پر ان کے اثرات کا مطالعہ کہلاتا ہے:,Pharmacology,فارماکولوجی,Parasitology,پیرا سائٹولوجی,Pathology,پیتھا لوجی,Marine biology,میرین بائیو لوجی,A
chapter1,1.1,biology_and_its_branches,336309,The study of biological molecules of life is called:,زندگی کے بائیو لوجیکل مالیکیولز کا مطالعہ کہلاتا ہے:,Anatomy,ایناٹومی,Immunology,امیونا لوجی,Physiology,فزیالوجی,Molecular biology,مالیکیولر بائیو لوجی,D
chapter1,1.1,biology_and_its_branches,336310,Relationships between organism and their environment is called:,جانداروں اور ان کے ماحول کے مابین تعلقات کہلاتے ہیں:,Taxonomy,ٹیکسانومی,Ecology,ایکا لوجی,Pharmacology,فارماکولوجی,Pathology,پیتھا لوجی,B
chapter1,1.1,biology_and_its_branches,336311,Coral reef support a wide variety of:,کورل ریف وسیع اقسام کی حمایت کرتا ہے:,Marine biology,میرین بائیو لوجی,Histology,ہسٹولوجی,Both,دونوں,None of these,ان میں کوئی نہیں,D
chapter1,1.2,relation_of_biology_with_other_sciences,336265,Insulin made through bacteria is an example of the technique of:,بیکٹیریا​​​​​​​ کے ذریعے بنائی گئی انسولین کس تکنیک کی مثال ہے؟,Parasitology,پیراسائٹالوجی,Biotechnology,بائیوٹیکنالوجی,Biochemistry,بائیو کیمسٹری,Histology,ہسٹالوجی,B
chapter1,1.2,relation_of_biology_with_other_sciences,336313,Study of structure and reaction of different chemical substances present in living systems is called:,نظام زندگی میں موجود مختلف کیمیائی مادوں کی ساخت اور رد عمل کا مطالعہ کہلاتا ہے:,Biochemistry,بائیو کیمسٹری,Biotechnology,بائیو ٹیکنالوجی,Biophysics,بائیو فزکس,Computational biology,کمپیوٹیشنل بیالوجی,A
chapter1,1.2,relation_of_biology_with_other_sciences,336314,The influence of climate change on the distribution of organisms is studied in:,جانداروں کی تقسیم پر موسمیاتی تبدیلی کے اثرات کا مطالعہ کیا جاتا ہے۔,Biophysics,بائیو فزکس,Biochemistry,بائیو کیمسٹری,Biogeography,بائیوجیوگرافی,Biotechnology,بائیو ٹیکنالوجی,C
chapter1,1.2,relation_of_biology_with_other_sciences,336316,"Which of the following plays a crucial role in biological research, health care and public health etc:",مندرجہ ذیل میں سے بائیو لوجیکل تحقیق ، صحت اور عوامی صحت جیسے شعبوں میں اہم کردار ادا کرتی ہے:,Biogeography,بائیو جیو گرافی,Biotechnology,بائیو ٹیکنالوجی,Biostatistics,بائیو سٹیٹسٹکس,Biochemistry,بائیو کیمسٹری,C
chapter1,1.2,relation_of_biology_with_other_sciences,336317,Scientists use mathematical models in:,سائنس دان ریاضی کے ماڈلز استعمال کرتے ہیں:,Computational biology,کمپیوٹیشنل بائیولوجی,Biostatistics,بائیو سٹیٹسٹکس,Biogeography,بائیو جیوگرافی,Biotechnology,بائیو ٹیکنالوجی,A
chapter1,1.2,relation_of_biology_with_other_sciences,336318,The study of chemical reactions of photosynthesis and respiration are the examples of:,فوٹو سینتھی سیز اور ریسپیریشن کے کیمیکل ری ایکشن کا مطالعہ اس کی مثالیں ہیں:,Biochemistry,بائیو کیمسٹری,Biophysics,بائیو فزکس,Biogeography,بائیو جیو گرافی,Biostatistics,بائیو سٹیٹسٹکس,A
chapter1,1.2,relation_of_biology_with_other_sciences,336319,Production of new variety of crops is an example of:,فصلوں کی نئی اقسام کی پیداوار اس کی مثال ہے:,Bio economics,بائیو اکنامکس,Biotechnology,بائیو ٹیکنالوجی,Biostatistics,بائیو سٹیٹسٹکس,Computational biology,کمپیوٹیشنل بائیو لوجی,A
chapter1,1.2,relation_of_biology_with_other_sciences,336320,Production of insulin is an example of:,انسولین کی تیاری مثال ہے:,Biostatistics,بائیو سٹیٹسٹکس,Biotechnology,بائیو ٹیکنالوجی,Biophysics,بائیو فزکس,Biogeography,بائیو جیو گرافی,B
chapter1,1.2,relation_of_biology_with_other_sciences,336321,Distribution of living organisms in different geographical regions:,مختلف جغرافیائی خطوں میں جانداروں کی تقسیم کہلاتی ہے:,Biochemistry,بائیو کیمسٹری,Biophysics,بائیو فزکس,Biostatistics,بائیو سٹیٹسٹکس,Biogeography,بائیو جیو گرافی,D
chapter1,1.2,relation_of_biology_with_other_sciences,336322,Principles of statistics to analyze and interpret data related to living organisms:,جانداروں سے متعلق ڈیٹا کا تجزیہ اور تشریح کرنے کے لیے سٹیٹسٹکس کے اصول:,Biophysics,بائیو فزکس,Biochemistry,بائیو کیمسٹری,Biostatistics,بائیو سٹیٹسٹکس,Biotechnology,بائیو ٹیکنالوجی,C
chapter1,1.2,relation_of_biology_with_other_sciences,347671,The study of occurrence and distribution of different species of living organisms in different geographical regions of the world is called:,دنیا کے مختلف جغرافیائی خطوں میں جانداروں کی مختلف انواع کی موجودگی اور تقسیم کا مطالعہ کہلاتا ہے:,Histology,ہسٹولوجی,Microbiology,مائیکرو بائیو لوجی,Biogeography,بائیو جیو گرافی,Parasitology,پیرا سائٹولوجی,C
chapter1,1.2,relation_of_biology_with_other_sciences,347672,How many peoples get lungs cancer by smoking? This question can be answered through:,تمباکو نوشی سے کتنے لوگوں کو پھیپھڑوں کا کینسر ہوتا ہے؟  اس سوال کا جواب اس کے ذریعے دیا جا سکتا ہے:,Biostatistics,بائیو سٹیٹسٹکس,Biophysics,بائیو فزکس,Bioeconomics,بائیو اکنامکس,Biogeography,بائیو جیو گرافی,A
chapter1,1.2,relation_of_biology_with_other_sciences,347673,The number of plants in desert are scare. This could be the statement of:,صحرا میں پودوں کی تعداد خوفناک ہے۔ یہ کس کا بیان ہو سکتا ہے:,Social biologist,سوشل بائیو لوجسٹ,Taxonomist,ٹیکسانومسٹ,Biogeographist,بائیو جیو گرافیسٹ,Palaeontologist,پیلےانٹولوجسٹ,C
chapter1,1.2,relation_of_biology_with_other_sciences,347674,Which of the following best describes the field of biotechnology:,مندرجہ ذیل میں سے بائیو ٹیکنالوجی کے شعبے کی بہترین وضاحت کرتا ہے:,Study of diseases,بیماریوں کا مطالعہ,Study of marine life,میرین لائف کا مطالعہ,Use of biology processes to develop technologies,ٹیکنالوجی کی تیاری کے لیے بائیو لوجیکل پروسیس کا استعمال,Management of forest resources,جنگلاتی وسائل کا انتظام,C
chapter1,1.2,relation_of_biology_with_other_sciences,347675,The oldest known fossil is a cyano bacterium estimated to be years old:,سب سے قدیم معلوم فوسل ایک سائینوبیکٹیریم ہے جس کا تخمینہ سالوں پرانا ہے:,2.4 billion,2.4بلین,1.4 billion,1.4بلین,3.5 billion,3.5بلین,4 billion,4بلین,C
chapter1,1.3,careers_in_biology,336323,The profession deals with diagnosis and treatment of diseases:,یہ پیشہ بیماریوں کی تشخیص اور علاج سے متعلق ہے:,Medicine,میڈیسن,Surgery,سرجری,Both A and B,الف اور ب دونوں,Dentistry,ڈینٹسٹری,A
chapter1,1.3,careers_in_biology,336324,Providing support to people on genetic conditions and testing:,جینیاتی حالات اور جانچ پر لوگوں کو مدد فراہم کرنا:,Veterinary medicine,وٹرنری میڈیسن,Microbiology,مائیکرو بائیو لوجی,Genetic counseling,جینیٹک کاؤنسلنگ,Biomedical engineering,بائیو میڈیکل انجینئرنگ,C
chapter1,1.3,careers_in_biology,336325,"Cultivate fruit, vegetables, flower and ornamental plants are:",پھل، سبزیاں، پھول اور آرائشی پودے کاشت کرتے ہیں:,Physiotherapist,فزیاتھرایپسٹ,Pharmacologist,فارماکولوجسٹ,Horticulturist,ہورٹیکلچریسٹ,Biotechnologist,بائیو ٹیکنالوجسٹ,C
chapter1,1.3,careers_in_biology,336326,Breeding and caring for livestock to improve their quality and productivity involves:,مویشیوں کے معیار اور پیداواری صلاحیت کو بہتر بنانے کے لیے ان کی افزائش اور دیکھ بھال میں شامل ہیں:,Agriculture,زراعت,Animal husbandry,حیوانیات پروری,Horticulture,ہورٹیکلچر,Biotechnology,بائیو ٹیکنالوجی,B
chapter1,1.3,careers_in_biology,336327,Who improve farming practices:,کون کاشتکاری کے طریقوں کو بہتر بناتے ہیں:,Agricultural scientists,زرعی سائنسدان,Horticulturists,ہورٹیکلچرسٹ,Biotechnologists,بائیو ٹیکنالوجسٹ,Forensic scientists,فارنسک سائنسدان,A
chapter1,1.3,careers_in_biology,336328,Breeding of cow belongs to:,گائے کی افزائش کا تعلق:,Farming,فارمنگ,Animal Husbandry,حیوانیات پروری,Fisheries,فشریز,Forestry,فوریسٹری,A
chapter1,1.3,careers_in_biology,336329,"The defective parts of body are repaired, replaced and removed by:",جسم کے خراب حصوں کی مرمت، تبدیل اور ہٹائے جاتے ہیں:,Medicine,میڈیسن,Surgery,سرجری,Dentistry,ڈینٹسٹری,Agriculture,زراعت,B
chapter1,1.3,careers_in_biology,336330,"To become a physiologist, a..... year BS degree in Physical Therapy is needed:",فزیالوجسٹ بننے کے لیے، فزیکل تھراپی میں ...... سال کی BS ڈگری کی ضرورت ہے:,2,,3,,4,,5,,C
chapter1,1.3,careers_in_biology,336331,In which career scientist analyze physical evidence from crime scenes to help in criminal’s investigation:,اس کیریئر میں سائنسدان مجرم کی تفتیش میں مدد کے لیے جرائم کے مناظر سے جسمانی شواہد کا تجزیہ کرتے ہیں:,Forensics,فارنسکس,Biotechnology,بائیو ٹیکنالوجی,Farming,فارمنگ,Dentistry,ڈینٹسٹری,A
chapter1,1.3,careers_in_biology,347676,The new emerging careers of biology include:,حیاتیات کے نئے ابھرتے ہوئے کیریئر میں شامل ہیں:,Bioinformatics and biomedical engineering,بائیو انفارمیٹکس اور بائیو میڈیکل انجینئرنگ,Biotechnology,بائیو ٹیکنالوجی,Genetics,جینیٹکس,All of above,مندرجہ بالا تمام,A
